nama_produk,kategori,harga,kualitas,garansi,instalasi,support,maintenance,deskripsi
Paket CCTV Premium,CCTV,5000000,Kualitas Premium,Garansi Resmi,Instalasi Gratis,Support 24/7,Maintenance Berkala,Paket CCTV lengkap dengan 8 kamera HD dan DVR 8 channel
Access Control Basic,Access Control,2000000,Kualitas Standard,Garansi 1 Tahun,Instalasi Berbayar,Support 8 Jam,Maintenance Berbayar,Sistem kontrol akses fingerprint untuk 100 user
Barrier Gate Auto,Barrier Gate,3000000,Kualitas Premium,Garansi Resmi,Instalasi Gratis,Support 16 Jam,Maintenance Berkala,Barrier gate otomatis dengan remote control
Internet Dedicated 10Mbps,Internet Dedicated,800000,Kualitas Premium,Garansi Resmi,Instalasi Gratis,Support 24/7,Maintenance Gratis,Koneksi internet dedicated 10Mbps dengan bandwidth stabil
Smart Home Basic,Smart Solution,5000000,Kualitas Standard,Garansi 1 Tahun,Instalasi Berbayar,Support 8 Jam,Maintenance Berbayar,Paket smart home dasar dengan 5 device IoT
CCTV Dome HD,CCTV,1500000,Kualitas Standard,Garansi 1 Tahun,Instalasi Berbayar,Support 8 Jam,Maintenance Berbayar,Kamera dome HD 2MP dengan IR night vision
Access Control Pro,Access Control,3500000,Kualitas Premium,Garansi Resmi,Instalasi Gratis,Support 24/7,Maintenance Berkala,Sistem kontrol akses multi-teknologi (fingerprint, card, PIN)
Barrier Gate Premium,Barrier Gate,4500000,Kualitas Premium,Garansi Resmi,Instalasi Gratis,Support 24/7,Maintenance Berkala,Barrier gate premium dengan sistem anti-collision
Internet Dedicated 50Mbps,Internet Dedicated,1500000,Kualitas Premium,Garansi Resmi,Instalasi Gratis,Support 24/7,Maintenance Gratis,Koneksi internet dedicated 50Mbps untuk bisnis besar
Smart Home Premium,Smart Solution,8000000,Kualitas Premium,Garansi Resmi,Instalasi Gratis,Support 24/7,Maintenance Berkala,Paket smart home lengkap dengan 15 device IoT
